"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TOP2A",4.45911422270316e-151,2.16056683344098,0.983,0.644,1.05096863114891e-146
"CENPF",5.47095162201783e-126,2.23697866276054,0.924,0.382,1.28944858779338e-121
"CKS2",5.15490037664525e-104,2.02011835505473,0.884,0.474,1.21495846977152e-99
"TPX2",1.77333760188793e-92,2.47562119142656,0.75,0.223,4.17957939388966e-88
"CCNB1",4.0693739028971e-84,1.92582926750776,0.797,0.282,9.59110735173819e-80
"AURKA",1.64365523758378e-78,2.88001859849371,0.619,0.132,3.87393102946121e-74
"ARL6IP1",2.03845060555845e-70,1.58183366320227,0.847,0.444,4.80442423224072e-66
"UBE2S",4.98879926854235e-68,1.36297199071499,0.897,0.59,1.17581009960275e-63
"DLGAP5",1.12066366293291e-64,2.466698919121,0.581,0.139,2.64129218716657e-60
"MKI67",9.06298315190601e-58,1.94097516002431,0.642,0.226,2.13605449907273e-53
"PRC1",1.2226853673794e-57,1.51938242355006,0.779,0.373,2.88174714237651e-53
"BIRC5",1.01681013535245e-56,1.42996649564271,0.799,0.416,2.3965198080122e-52
"CALM2",1.17563212898059e-54,0.631333658955191,0.999,0.972,2.77084736479435e-50
"KPNA2",1.01779550736778e-53,1.69265786369972,0.695,0.322,2.39884223131513e-49
"PRR11",7.72639761739277e-50,2.55604312359762,0.462,0.096,1.8210346544433e-45
"HMMR",5.05364388765357e-49,3.31400458894181,0.388,0.054,1.19109332788107e-44
"PTTG1",2.10581485024718e-47,1.0130413382211,0.884,0.573,4.96319502054757e-43
"GTSE1",2.27126407215859e-42,2.69629648077327,0.394,0.076,5.35314229167058e-38
"DYNLL1",4.07143044625789e-42,0.63990861981521,0.99,0.944,9.59595441878522e-38
"NUSAP1",6.25609961830727e-41,1.34467316381563,0.688,0.359,1.47450011903884e-36
"TUBA1C",1.02549604273724e-39,1.13658046265195,0.807,0.56,2.4169916231274e-35
"ASPM",2.63367186174673e-39,1.9821568353737,0.475,0.147,6.20730121095086e-35
"UBE2C",1.0282896576226e-38,2.3699079620293,0.438,0.127,2.4235758940507e-34
"PBK",7.60434486376093e-38,1.32139555897263,0.689,0.364,1.79226804093981e-33
"TUBB4B",4.25832594114142e-37,1.11865704988719,0.759,0.455,1.00364484106762e-32
"PLK1",1.74903192768754e-36,3.33806356641523,0.294,0.036,4.12229335036676e-32
"JPT1",2.37096684822798e-36,0.734154272965549,0.945,0.82,5.58813176458852e-32
"CEP55",2.83484501857567e-36,1.72918907860931,0.516,0.198,6.68144622428101e-32
"TACC3",1.31949614119752e-35,1.91925035507976,0.455,0.146,3.10992045518844e-31
"HIST1H4C",4.28562211450527e-32,-0.476918707403918,0.769,0.913,1.01007827616775e-27
"NUCKS1",4.85778660339631e-27,0.518906249683872,0.959,0.904,1.14493172455448e-22
"CDKN3",1.15233172960944e-26,1.27405858185234,0.565,0.289,2.71593065351648e-22
"CDC20",2.60477149407391e-26,2.27593858149066,0.301,0.074,6.13918593438279e-22
"SGO2",3.14901110401079e-26,2.65082299535092,0.269,0.056,7.42190427104304e-22
"CCNB2",1.02974125450028e-25,1.73644128830988,0.358,0.111,2.4269971627317e-21
"RBFOX3",1.87562750609217e-25,-2.27347864675654,0.061,0.272,4.42066646910863e-21
"THSD4",1.39586535443826e-24,-1.29295806990289,0.292,0.539,3.28991505387552e-20
"FTL",1.80228226520992e-24,-0.274625334345569,1,1,4.24779907087327e-20
"SPDL1",1.1900735182995e-23,1.15593405955746,0.577,0.324,2.8048842752801e-19
"S100A6",3.80069143736162e-21,-0.339554392951576,1,0.998,8.95784964871759e-17
"NCAPD2",4.16810431307901e-21,1.46351217928773,0.378,0.149,9.82380505549591e-17
"HMGB2",5.55788650481111e-21,1.62343382105195,0.327,0.116,1.30993827031893e-16
"RAD21",1.11166806103642e-20,1.00769787507196,0.545,0.294,2.62009045305673e-16
"KIF11",1.23091568660615e-19,1.62120595936468,0.32,0.115,2.90114518176204e-15
"ACTB",1.97842075681516e-19,0.293392750756422,0.999,0.997,4.66293988173766e-15
"CKAP2",3.67910774530383e-19,1.36258365662875,0.39,0.167,8.67128904490659e-15
"SHANK2",4.6272061878964e-19,-1.64456062108747,0.14,0.337,1.0905862264253e-14
"TPM1",3.96326021401977e-18,0.622488014775253,0.985,0.961,9.34100799842319e-14
"H3F3B",2.52421946808065e-17,0.564196733698322,0.876,0.769,5.94933286431928e-13
"CKS1B",2.57416385949461e-17,0.60031519822941,0.794,0.616,6.06704680044283e-13
"FOS",4.30019079031451e-17,-0.848520297787525,0.429,0.635,1.01351196736923e-12
"SMC4",5.32886178435088e-17,1.1304146353391,0.438,0.224,1.25595943395366e-12
"TGFBI",5.34518466431417e-17,0.957903907664389,0.612,0.424,1.25980657353221e-12
"PMEPA1",1.04908329850103e-16,0.935293464768845,0.621,0.443,2.47258442623708e-12
"RDX",1.74937233678014e-16,0.611130863917343,0.872,0.759,4.12309566055711e-12
"KIF4A",3.18700553369274e-16,1.3992333504513,0.304,0.119,7.51145334236041e-12
"ACTG1",8.33240647120296e-16,0.317543212063843,0.988,0.972,1.96386488119783e-11
"KIF23",9.09075725594766e-16,1.56029300737799,0.275,0.104,2.1426005776543e-11
"CCDC80",1.28241134255137e-15,1.0768216423254,0.606,0.423,3.02251529325933e-11
"BLVRB",1.58526181164686e-15,-0.581338892290255,0.66,0.8,3.73630356387048e-11
"TMPO",1.70749766268539e-15,0.777407403678005,0.644,0.457,4.0244012411832e-11
"PTGR1",2.33439501921251e-15,-0.521562062286562,0.804,0.893,5.50193562078198e-11
"MT2A",3.10387901066219e-15,0.779554157587087,0.908,0.814,7.31553244022971e-11
